description
"2 - Metro areas of 250,000-1 million population"
"3 - Metro areas of <250,000 population"
"6 - Urban population 5,000-20,000
adjacent to a metro area"
1 - Metro areas of >1 million population
"8 - Urban population <5,000
adjacent to a metro area"
"9 - Urban population <5,000
not adjacent to a metro area"
"4 - Urban population >20,000
adjacent to a metro area"
"7 - Urban population of 5,000-20,000
not adjacent to a metro area"
"5 - Urban population >20,000
not adjacent to a metro area"
NA
