parties,votes
PVV,1760362
PvdAGL,1351585 
VVD,1503946
NSC,39448
D66,1788817
BBB,279549
CDA,1245258
SP (Socialistische Partij),199416
DENK,250438
Forum voor Democratie,479898
Partij voor de Dieren,219198
Staatkundig Gereformeerde Partij (SGP),238057
ChristenUnie,201004
Volt,116590
JA21,627755
BVNL,18457
50PLUS,150933
BIJ1,40412
Piratenpartij,10644
NLPLAN,2337 
Libertarische Partij,8460 
Vrevdier,17025
FNP,9348
Delinie,3575
NLPLAN,2337
Vrijverbond,1057
Ellect,205
PvdR,151
