# peiling: Sep 1
parties,distancefromcenter,totalseats
VVD,-4,26
PVV,-15,15
CDA,-2,5
D66,2,10
PVDAGL,6,20
SP,8,3
CU,-4,5
PvdD,7,9
50PLUS,-2,0
SGP,-8,3
Denk,7,2
FvD,-15,3
JA21,-10,3
Volt,3,3
BBB,-3,15
NSC,-3,27
BVNL,0,0
BIJ1,0,0
