parties,votes
PVV,2450855
PvdAGL,1643032
VVD,1589518
NSC,1343292
D66,656290
BBB,485551
CDA,345821
SP (Socialistische Partij),328225
DENK,246764
Forum voor Democratie,232963
Partij voor de Dieren,235148
Staatkundig Gereformeerde Partij (SGP),217270
ChristenUnie,212532
Volt,178802
JA21,71345
BVNL,52913
50PLUS,51043
BIJ1,44253
Splinter,12838
Piratenpartij,9117
NLPLAN,5487
SVNL,5325
LEF,5122
Libertarische Partij,4152
Partij voor sport,3966
PP Basisinkomen,1038
