parties,votes
VVD,2238351
PVV,1372941
CDA,1301796
Democraten66,1285819
GROENLINKS,959600
SP,955633
PvdA,599699
ChristenUnie,356271
PvdD,335214
50PLUS,327131
SGP,218950
DENK,216147
FVD,187162
VNL,38209
Piratenpartij,35478
Artikel 1,28700
Nieuwe wegen,14362
OndernemersPartij,12570
Lokaal,6858
Nietstemmers,6025
De,5221
GeenPeil,4945
JEZUS,3099
Vrijzinnige,2938
Libertarische,1492
MenS,726
StemNL,527
Vrije,177
