parties,votes
VVD,2504948
PvdA,2340750
PVV,950263
SP,909853
CDA,801620
D66,757091
ChristenUnie,294586
GroenLinks,219896
SGP,196780
PvdD,182162
50Plus,177631
Piratenpartij,30600
MenS,18310
SOPN,12982
PvdT,8194
DPK,7363
LP,4163
Nederland Lokaal,2842
LibDem,2126
Anti Europa Partij,2013
Politieke Partij NXD,62
